ID;Имя;Дней с последней покупки;Заказов;Выручка (₽);R;F;M;RFM-счет;Сегмент
66;Лебедев 66;12.0;2;17377.0;5;2;2;9;Новые
69;Морозов 69;18.0;2;18773.0;5;2;2;9;Новые
70;Иванов 70;4.0;2;15952.0;5;2;2;9;Новые
74;Кузнецов 74;7.0;2;12884.0;5;2;2;9;Новые
76;Лебедев 76;212.0;1;6254.0;2;2;2;6;Спящие
80;Иванов 80;176.0;1;9104.0;2;2;2;6;Спящие
82;Сидоров 82;199.0;1;7234.0;2;2;2;6;Спящие
85;Попов 85;207.0;1;6628.0;2;2;2;6;Спящие
86;Лебедев 86;191.0;1;9090.0;2;2;2;6;Спящие
87;Козлов 87;201.0;1;8874.0;2;2;2;6;Спящие
89;Морозов 89;166.0;1;8320.0;2;2;2;6;Спящие
90;Иванов 90;183.0;1;5302.0;2;2;2;6;Спящие
91;Петров 91;202.0;1;6922.0;2;2;2;6;Спящие
96;Лебедев 96;168.0;1;5215.0;2;2;2;6;Спящие
99;Морозов 99;164.0;1;6533.0;2;2;2;6;Спящие
77;Козлов 77;174.0;1;2041.0;2;2;1;5;Спящие
78;Новиков 78;175.0;1;1623.0;2;2;1;5;Спящие
79;Морозов 79;195.0;1;4425.0;2;2;1;5;Спящие
81;Петров 81;201.0;1;4381.0;2;2;1;5;Спящие
83;Смирнов 83;158.0;1;3478.0;2;2;1;5;Спящие
84;Кузнецов 84;202.0;1;2752.0;2;2;1;5;Спящие
88;Новиков 88;206.0;1;1000.0;2;2;1;5;Спящие
92;Сидоров 92;170.0;1;1000.0;2;2;1;5;Спящие
93;Смирнов 93;199.0;1;1880.0;2;2;1;5;Спящие
94;Кузнецов 94;156.0;1;3238.0;2;2;1;5;Спящие
95;Попов 95;201.0;1;1212.0;2;2;1;5;Спящие
97;Козлов 97;158.0;1;2523.0;2;2;1;5;Спящие
98;Новиков 98;194.0;1;4533.0;2;2;1;5;Спящие
100;Иванов 100;188.0;1;3521.0;2;2;1;5;Спящие
101;Петров 101;972.0;0;0.0;1;1;1;3;Уходящие
102;Сидоров 102;1016.0;0;0.0;1;1;1;3;Уходящие
103;Смирнов 103;923.0;0;0.0;1;1;1;3;Уходящие
104;Кузнецов 104;443.0;0;0.0;1;1;1;3;Уходящие
105;Попов 105;690.0;0;0.0;1;1;1;3;Уходящие
106;Лебедев 106;942.0;0;0.0;1;1;1;3;Уходящие
107;Козлов 107;1097.0;0;0.0;1;1;1;3;Уходящие
108;Новиков 108;402.0;0;0.0;1;1;1;3;Уходящие
109;Морозов 109;715.0;0;0.0;1;1;1;3;Уходящие
110;Иванов 110;624.0;0;0.0;1;1;1;3;Уходящие
111;Петров 111;531.0;0;0.0;1;1;1;3;Уходящие
112;Сидоров 112;435.0;0;0.0;1;1;1;3;Уходящие
113;Смирнов 113;473.0;0;0.0;1;1;1;3;Уходящие
114;Кузнецов 114;585.0;0;0.0;1;1;1;3;Уходящие
115;Попов 115;877.0;0;0.0;1;1;1;3;Уходящие
116;Лебедев 116;897.0;0;0.0;1;1;1;3;Уходящие
117;Козлов 117;775.0;0;0.0;1;1;1;3;Уходящие
118;Новиков 118;713.0;0;0.0;1;1;1;3;Уходящие
119;Морозов 119;1036.0;0;0.0;1;1;1;3;Уходящие
120;Иванов 120;820.0;0;0.0;1;1;1;3;Уходящие
121;Петров 121;713.0;0;0.0;1;1;1;3;Уходящие
122;Сидоров 122;416.0;0;0.0;1;1;1;3;Уходящие
123;Смирнов 123;915.0;0;0.0;1;1;1;3;Уходящие
124;Кузнецов 124;563.0;0;0.0;1;1;1;3;Уходящие
125;Попов 125;601.0;0;0.0;1;1;1;3;Уходящие
